times=0,loss=100000.0000,mae=100000.000000,mse=100000.000000,lr=0.010000,decay=0.000002
times=34,loss=0.0210,lr=0.009256,decay=0.000002,mae=0.120472,mse=0.024536,overfit rate = 25%
times=35,loss=0.0210,lr=0.009234,decay=0.000002,mae=0.123365,mse=0.026748,overfit rate = 60%
times=36,loss=0.0210,lr=0.009212,decay=0.000002,mae=0.109486,mse=0.021778,overfit rate = 5%
times=37,loss=0.0210,lr=0.009191,decay=0.000002,mae=0.111733,mse=0.022248,overfit rate = 15%
Saved times=38,loss=0.0198,lr=0.009169,decay=0.000002,mae=0.098816,mse=0.019831,overfit rate = 0%
times=39,loss=0.0198,lr=0.009148,decay=0.000002,mae=0.146538,mse=0.038377,overfit rate = 100%
times=40,loss=0.0198,lr=0.009126,decay=0.000002,mae=0.132381,mse=0.033060,overfit rate = 90%
times=41,loss=0.0198,lr=0.009105,decay=0.000002,mae=0.115882,mse=0.022209,overfit rate = 20%
times=42,loss=0.0198,lr=0.009084,decay=0.000002,mae=0.133831,mse=0.028383,overfit rate = 80%
times=43,loss=0.0198,lr=0.009063,decay=0.000002,mae=0.105273,mse=0.020182,overfit rate = 5%
times=44,loss=0.0198,lr=0.009041,decay=0.000002,mae=0.118354,mse=0.026290,overfit rate = 60%
Saved times=45,loss=0.0184,lr=0.009020,decay=0.000002,mae=0.100843,mse=0.018487,overfit rate = 0%
times=46,loss=0.0184,lr=0.008999,decay=0.000002,mae=0.100930,mse=0.019689,overfit rate = 5%
times=47,loss=0.0184,lr=0.008978,decay=0.000002,mae=0.136721,mse=0.033736,overfit rate = 90%
times=48,loss=0.0184,lr=0.008957,decay=0.000002,mae=0.115568,mse=0.028094,overfit rate = 80%
times=49,loss=0.0184,lr=0.008936,decay=0.000002,mae=0.107924,mse=0.019743,overfit rate = 10%
times=50,loss=0.0184,lr=0.008915,decay=0.000002,mae=0.111994,mse=0.023565,overfit rate = 40%
times=51,loss=0.0184,lr=0.008894,decay=0.000002,mae=0.126670,mse=0.026295,overfit rate = 55%
times=52,loss=0.0184,lr=0.008873,decay=0.000002,mae=0.106880,mse=0.020335,overfit rate = 25%
times=53,loss=0.0184,lr=0.008853,decay=0.000002,mae=0.114078,mse=0.024276,overfit rate = 50%
times=54,loss=0.0184,lr=0.008832,decay=0.000002,mae=0.104569,mse=0.019900,overfit rate = 20%
times=55,loss=0.0184,lr=0.008811,decay=0.000002,mae=0.109706,mse=0.019673,overfit rate = 5%
times=56,loss=0.0184,lr=0.008791,decay=0.000002,mae=0.112282,mse=0.021558,overfit rate = 40%
times=57,loss=0.0184,lr=0.008770,decay=0.000002,mae=0.107175,mse=0.020177,overfit rate = 30%
Saved times=58,loss=0.0177,lr=0.008749,decay=0.000002,mae=0.098549,mse=0.017779,overfit rate = 0%
times=59,loss=0.0177,lr=0.008729,decay=0.000002,mae=0.149168,mse=0.048190,overfit rate = 100%
times=60,loss=0.0177,lr=0.008709,decay=0.000002,mae=0.107573,mse=0.021430,overfit rate = 45%
Saved times=61,loss=0.0155,lr=0.008688,decay=0.000002,mae=0.095139,mse=0.015537,overfit rate = 0%
Saved times=62,loss=0.0153,lr=0.008668,decay=0.000002,mae=0.091464,mse=0.015325,overfit rate = 0%
times=63,loss=0.0153,lr=0.008648,decay=0.000002,mae=0.104687,mse=0.018273,overfit rate = 15%
times=64,loss=0.0153,lr=0.008627,decay=0.000002,mae=0.115799,mse=0.024583,overfit rate = 75%
times=65,loss=0.0153,lr=0.008607,decay=0.000002,mae=0.092141,mse=0.015988,overfit rate = 10%
times=66,loss=0.0153,lr=0.008587,decay=0.000002,mae=0.092320,mse=0.016252,overfit rate = 15%
times=67,loss=0.0153,lr=0.008567,decay=0.000002,mae=0.124196,mse=0.023118,overfit rate = 65%
times=68,loss=0.0153,lr=0.008547,decay=0.000002,mae=0.095994,mse=0.018083,overfit rate = 25%
times=69,loss=0.0153,lr=0.008527,decay=0.000002,mae=0.098427,mse=0.016555,overfit rate = 20%
times=70,loss=0.0153,lr=0.008507,decay=0.000002,mae=0.095466,mse=0.016608,overfit rate = 25%
Saved times=71,loss=0.0129,lr=0.008487,decay=0.000002,mae=0.084470,mse=0.013000,overfit rate = 0%
times=72,loss=0.0129,lr=0.008467,decay=0.000002,mae=0.091558,mse=0.016025,overfit rate = 20%
times=73,loss=0.0129,lr=0.008447,decay=0.000002,mae=0.084288,mse=0.013346,overfit rate = 5%
times=74,loss=0.0129,lr=0.008427,decay=0.000002,mae=0.092216,mse=0.015457,overfit rate = 15%
times=75,loss=0.0129,lr=0.008408,decay=0.000002,mae=0.099399,mse=0.018153,overfit rate = 60%
times=76,loss=0.0129,lr=0.008388,decay=0.000002,mae=0.105961,mse=0.021418,overfit rate = 75%
times=77,loss=0.0129,lr=0.008368,decay=0.000002,mae=0.094572,mse=0.016491,overfit rate = 40%
times=78,loss=0.0129,lr=0.008349,decay=0.000002,mae=0.095493,mse=0.017330,overfit rate = 55%
times=79,loss=0.0129,lr=0.008329,decay=0.000002,mae=0.110472,mse=0.019026,overfit rate = 75%
times=80,loss=0.0129,lr=0.008310,decay=0.000002,mae=0.093838,mse=0.016516,overfit rate = 45%
times=81,loss=0.0129,lr=0.008290,decay=0.000002,mae=0.091064,mse=0.014839,overfit rate = 10%
times=82,loss=0.0129,lr=0.008271,decay=0.000002,mae=0.094556,mse=0.015935,overfit rate = 25%
times=83,loss=0.0129,lr=0.008252,decay=0.000002,mae=0.110906,mse=0.020931,overfit rate = 85%
times=84,loss=0.0129,lr=0.008232,decay=0.000002,mae=0.089115,mse=0.014263,overfit rate = 10%
times=85,loss=0.0129,lr=0.008213,decay=0.000002,mae=0.090950,mse=0.014915,overfit rate = 20%
times=86,loss=0.0129,lr=0.008194,decay=0.000002,mae=0.099229,mse=0.016560,overfit rate = 50%
times=87,loss=0.0129,lr=0.008175,decay=0.000002,mae=0.095764,mse=0.016904,overfit rate = 65%
times=88,loss=0.0129,lr=0.008155,decay=0.000002,mae=0.102766,mse=0.016732,overfit rate = 65%
times=89,loss=0.0129,lr=0.008136,decay=0.000002,mae=0.087064,mse=0.013968,overfit rate = 10%
times=90,loss=0.0129,lr=0.008117,decay=0.000002,mae=0.090875,mse=0.015963,overfit rate = 35%
times=91,loss=0.0129,lr=0.008098,decay=0.000002,mae=0.096274,mse=0.017981,overfit rate = 80%
times=92,loss=0.0129,lr=0.008079,decay=0.000002,mae=0.095521,mse=0.016875,overfit rate = 65%
times=93,loss=0.0129,lr=0.008060,decay=0.000002,mae=0.103277,mse=0.017192,overfit rate = 70%
times=94,loss=0.0129,lr=0.008042,decay=0.000002,mae=0.088096,mse=0.013601,overfit rate = 0%
times=95,loss=0.0129,lr=0.008023,decay=0.000002,mae=0.107737,mse=0.019294,overfit rate = 90%
times=96,loss=0.0129,lr=0.008004,decay=0.000002,mae=0.093612,mse=0.014648,overfit rate = 15%
times=97,loss=0.0129,lr=0.007985,decay=0.000002,mae=0.103313,mse=0.016612,overfit rate = 55%
times=98,loss=0.0129,lr=0.007966,decay=0.000002,mae=0.125859,mse=0.027732,overfit rate = 100%
times=99,loss=0.0129,lr=0.007948,decay=0.000002,mae=0.083217,mse=0.013365,overfit rate = 0%
times=100,loss=0.0129,lr=0.007929,decay=0.000002,mae=0.089886,mse=0.014072,overfit rate = 15%
Saved times=101,loss=0.0113,lr=0.007911,decay=0.000002,mae=0.080885,mse=0.011335,overfit rate = 0%
times=102,loss=0.0113,lr=0.007892,decay=0.000002,mae=0.094840,mse=0.014643,overfit rate = 30%
times=103,loss=0.0113,lr=0.007874,decay=0.000002,mae=0.078712,mse=0.012362,overfit rate = 5%
times=104,loss=0.0113,lr=0.007855,decay=0.000002,mae=0.082669,mse=0.012869,overfit rate = 10%
times=105,loss=0.0113,lr=0.007837,decay=0.000002,mae=0.086284,mse=0.014630,overfit rate = 35%
times=106,loss=0.0113,lr=0.007818,decay=0.000002,mae=0.110949,mse=0.022076,overfit rate = 95%
times=107,loss=0.0113,lr=0.007800,decay=0.000002,mae=0.087126,mse=0.013761,overfit rate = 25%
times=108,loss=0.0113,lr=0.007782,decay=0.000002,mae=0.079105,mse=0.011796,overfit rate = 5%
times=109,loss=0.0113,lr=0.007764,decay=0.000002,mae=0.090846,mse=0.014642,overfit rate = 45%
times=110,loss=0.0113,lr=0.007746,decay=0.000002,mae=0.126082,mse=0.026248,overfit rate = 95%
times=111,loss=0.0113,lr=0.007727,decay=0.000002,mae=0.079106,mse=0.011711,overfit rate = 5%
times=112,loss=0.0113,lr=0.007709,decay=0.000002,mae=0.096028,mse=0.015471,overfit rate = 65%
times=113,loss=0.0113,lr=0.007691,decay=0.000002,mae=0.085432,mse=0.013093,overfit rate = 25%
times=114,loss=0.0113,lr=0.007673,decay=0.000002,mae=0.077912,mse=0.011480,overfit rate = 5%
times=115,loss=0.0113,lr=0.007655,decay=0.000002,mae=0.096441,mse=0.015304,overfit rate = 70%
times=116,loss=0.0113,lr=0.007637,decay=0.000002,mae=0.104815,mse=0.018626,overfit rate = 85%
times=117,loss=0.0113,lr=0.007619,decay=0.000002,mae=0.083322,mse=0.012444,overfit rate = 25%
times=118,loss=0.0113,lr=0.007602,decay=0.000002,mae=0.096018,mse=0.019057,overfit rate = 85%
times=119,loss=0.0113,lr=0.007584,decay=0.000002,mae=0.079486,mse=0.012054,overfit rate = 20%
times=120,loss=0.0113,lr=0.007566,decay=0.000002,mae=0.095307,mse=0.014889,overfit rate = 70%
